Task,Known/Novel,TargetWord,File Order,WAV filename audio - Speech-Shaped Noise (SSN) - 5SNR,WAV filename audio - Two Talker Speech - 5SNR,TargetImage,Image files
Free Recall Test,Novel,Kinit,37,37_Day2_FreeRecall_KINIT_SSN_5SNR_Final,37_Day2_FreeRecall_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Feedback,,,38,38_Day2_Feedback_KINIT_SSN_5SNR_Final,38_Day2_Feedback_KINIT_2Talker_5SNR_Final,,
Free Recall Test,Novel,Daevl,39,39_Day2_FreeRecall_DAEVL_SSN_5SNR_Final,39_Day2_FreeRecall_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,,,40,40_Day2_Feedback_DAEVL_SSN_5SNR_Final,40_Day2_Feedback_DAEVL_2Talker_5SNR_Final,,
Free Recall Test,Novel,Nedig,41,41_Day2_FreeRecall_NEDIG_SSN_5SNR_Final,41_Day2_FreeRecall_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Feedback,,,42,42_Day2_Feedback_NEDIG_SSN_5SNR_Final,42_Day2_Feedback_NEDIG_2Talker_5SNR_Final,,
Free Recall Test,Novel,Topin,43,43_Day2_FreeRecall_TOPIN_SSN_5SNR_Final,43_Day2_FreeRecall_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
Feedback,,,44,44_Day2_Feedback_TOPIN_SSN_5SNR_Final,44_Day2_Feedback_TOPIN_2Talker_5SNR_Final,,
Block 5,,,,,,,
Cued Recall Test,Known,Roo,45,45_Day2_CuedRecall_ROO_Quiet_Final_60dB,45_Day2_CuedRecall_ROO_Quiet_Final_60dB,Rooster,Rooster.png
Feedback,,Rooster,46,46_Day2_Feedback_ROOSTER_Quiet_Final_60dB,46_Day2_Feedback_ROOSTER_Quiet_Final_60dB,,
Cued Recall Test,Known,Bay,47,47_Day2_CuedRecall_BAY_SSN_5SNR_Final,47_Day2_CuedRecall_BAY_2Talker_5SNR_Final,Baby,Baby.png
Feedback,,Baby,48,48_Day2_Feedback_BABY_SSN_5SNR_Final,48_Day2_Feedback_BABY_2Talker_5SNR_Final,,
Cued Recall Test,Novel,Ki,49,49_Day2_CuedRecall_KI_SSN_5SNR_Final,49_Day2_CuedRecall_KI_2Talker_5SNR_Final,Kinit,Kinit.png
Feedback,,Kinit,50,50_Day2_Feedback_KINIT_SSN_5SNR_Final,50_Day2_Feedback_KINIT_2Talker_5SNR_Final,,
Cued Recall Test,Novel,Dae ,51,51_Day2_CuedRecall_DAE_SSN_5SNR_Final,51_Day2_CuedRecall_DAE_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,,Daevl,52,52_Day2_Feedback_DAEVL_SSN_5SNR_Final,52_Day2_Feedback_DAEVL_2Talker_5SNR_Final,,
Cued Recall Test,Novel,Ne,53,53_Day2_CuedRecall_NE_SSN_5SNR_Final,53_Day2_CuedRecall_NE_2Talker_5SNR_Final,Nedig,Nedig.png
Feedback,,Nedig,54,54_Day2_Feedback_NEDIG_SSN_5SNR_Final,54_Day2_Feedback_NEDIG_2Talker_5SNR_Final,,
Cued Recall Test,Novel,To,55,55_Day2_CuedRecall_TO_SSN_5SNR_Final,55_Day2_CuedRecall_TO_2Talker_5SNR_Final,Topin,Topin.png
Feedback,,Topin,56,56_Day2_Feedback_TOPIN_SSN_5SNR_Final,56_Day2_Feedback_TOPIN_2Talker_5SNR_Final,,
