Task,Known/Novel,TargetWord,File Order,WAV filename audio - Speech-Shaped Noise (SSN) - 5SNR,WAV filename audio - Two Talker Speech - 5SNR,TargetImage,Image files
Block 1,,,,,,,
Exposure,Known ,Apple,1,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,Apple,Apple.png
Exposure,Known,Rooster,2,2_Day1_Exposure_ROOSTER_Quiet_Final_60dB,2_Day1_Exposure_ROOSTER_Quiet_Final_60dB,Rooster,Rooster.png
Exposure,Known,Baby,3,3_Day1_Exposure_BABY_SSN_5SNR_Final,3_Day1_Exposure_BABY_2Talker_5SNR_Final,Baby,Baby.png
Exposure,Novel,Topin,4,4_Day1_Exposure_TOPIN_SSN_5SNR_Final,4_Day1_Exposure_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
Exposure,Novel,Nedig,5,5_Day1_Exposure_NEDIG_SSN_5SNR_Final,5_Day1_Exposure_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Exposure,Novel,Kinit,6,6_Day1_Exposure_KINIT_SSN_5SNR_Final,6_Day1_Exposure_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Exposure,Novel,Daevl,7,7_Day1_Exposure_DAEVL_SSN_5SNR_Final,7_Day1_Exposure_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Block 2,,,,,,,
2 AFC,Known,Apple or Flower,8,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,Apple,Apple.png
Feedback,,Apple,9,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,,
2 AFC,Known,Pizza or Rooster,10,10_Day1_2AFC_PIZZA_ROOSTER_Quiet_Final_60dB,10_Day1_2AFC_PIZZA_ROOSTER_Quiet_Final_60dB,Rooster,Rooster.png
Feedback,,Rooster,11,11_Day1_Feedback_ROOSTER_Quiet_Final_60dB,11_Day1_Feedback_ROOSTER_Quiet_Final_60dB,,
2 AFC,Known,Baby or Cheetah,12,12_Day1_2AFC_BABY_CHEETAH_SSN_5SNR_Final,12_Day1_2AFC_BABY_CHEETAH_2Talker_5SNR_Final,Baby,Baby.png
Feedback,,Baby,13,13_Day1_Feedback_BABY_SSN_5SNR_Final,13_Day1_Feedback_BABY_2Talker_5SNR_Final,,
2 AFC,Novel,Topin or Kinit,14,14_Day1_2AFC_TOPIN_KINIT_SSN_5SNR_Final,14_Day1_2AFC_TOPIN_KINIT_2Talker_5SNR_Final,Topin,Topin.png
Feedback,,Topin,15,15_Day1_Feedback_TOPIN_SSN_5SNR_Final,15_Day1_Feedback_TOPIN_2Talker_5SNR_Final,,
