Task,Known/Novel,TargetWord,File Order,WAV filename audio - Speech-Shaped Noise (SSN) - 5SNR,WAV filename audio - Two Talker Speech - 5SNR,TargetImage,Image files
2 AFC,Novel,Daevl or Nedig,16,16_Day1_2AFC_DAEVL_NEDIG_SSN_5SNR_Final,16_Day1_2AFC_DAEVL_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Feedback,,Nedig,17,17_Day1_Feedback_NEGID_SSN_5SNR_Final,17_Day1_Feedback_NEDIG_2Talker_5SNR_Final,,
2 AFC,Novel,Kinit or Topin,18,18_Day1_2AFC_KINIT_TOPIN_SSN_5SNR_Final,18_Day1_2AFC_KINIT_TOPIN_2Talker_5SNR_Final,Kinit,Kinit.png
Feedback,,Kinit,19,19_Day1_Feedback_KINIT_SSN_5SNR_Final,19_Day1_Feedback_KINIT_2Talker_5SNR_Final,,
2 AFC,Novel,Nedig or Daevl,20,20_Day1_2AFC_NEDIG_DAEVL_SSN_5SNR_Final,20_Day1_2AFC_NEDIG_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,,Daevl,21,21_Day1_Feedback_DAEVL_SSN_5SNR_Final,21_Day1_Feedback_DAEVL_2Talker_5SNR_Final,,
Block 3,,,,,,,
2 AFC,Novel,Topin or Nedig,22,22_Day1_2AFC_TOPIN_NEDIG_SSN_5SNR_Final,22_Day1_2AFC_TOPIN_NEDIG_2Talker_5SNR_Final,Topin,Topin.png
Feedback,,Topin,23,23_Day1_Feedback_TOPIN_SSN_5SNR_Final,23_Day1_Feedback_TOPIN_2Talker_5SNR_Final,,
2 AFC,Novel,Nedig or Kinit,24,24_Day1_2AFC_NEDIG_KINIT_SSN_5SNR_Final,24_Day1_2AFC_NEDIG_KINIT_2Talker_5SNR_Final,Nedig,Nedig.png
Feedback,,Nedig,25,25_Day1_Feedback_NEGID_SSN_5SNR_Final,25_Day1_Feedback_NEDIG_2Talker_5SNR_Final,,
2 AFC,Novel,Daevl or Kinit,26,26_Day1_2AFC_DAEVL_KINIT_SSN_5SNR_Final,26_Day1_2AFC_DAEVL_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Feedback,,Kinit,27,27_Day1_Feedback_KINIT_SSN_5SNR_Final,27_Day1_Feedback_KINIT_2Talker_5SNR_Final,,
2 AFC,Novel,Topin or Daevl,28,28_Day1_2AFC_TOPIN_DAEVL_SSN_5SNR_Final,28_Day1_2AFC_TOPIN_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,,Daevl,29,29_Day1_Feedback_DAEVL_SSN_5SNR_Final,29_Day1_Feedback_DAEVL_2Talker_5SNR_Final,,
Block 4,,,,,,,
Free Recall Test,Known,Apple,30,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,Apple,Apple.png
Feedback,,,31,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,,
Free Recall Test,Known,Rooster,32,32_Day1_FreeRecall_ROOSTER_Quiet_Final_60dB,32_Day1_FreeRecall_ROOSTER_Quiet_Final_60dB,Rooster,Rooster.png
Feedback,,,33,33_Day1_Feedback_ROOSTER_Quiet_Final_60dB,33_Day1_Feedback_ROOSTER_Quiet_Final_60dB,,
Free Recall Test,Known,Baby,34,34_Day1_FreeRecall_BABY_SSN_5SNR_Final,34_Day1_FreeRecall_BABY_2Talker_5SNR_Final,Baby,Baby.png
Feedback,,,35,35_Day1_Feedback_BABY_SSN_5SNR_Final,35_Day1_Feedback_BABY_2Talker_5SNR_Final,,
Free Recall Test,Novel,Topin,36,36_Day1_FreeRecall_TOPIN_SSN_5SNR_Final,36_Day1_FreeRecall_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
Feedback,,,37,37_Day1_Feedback_TOPIN_SSN_5SNR_Final,37_Day1_Feedback_TOPIN_2Talker_5SNR_Final,,
Free Recall Test,Novel,Nedig,38,38_Day1_FreeRecall_NEDIG_SSN_5SNR_Final,38_Day1_FreeRecall_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Feedback,,,39,39_Day1_Feedback_NEGID_SSN_5SNR_Final,39_Day1_Feedback_NEDIG_2Talker_5SNR_Final,,
Free Recall Test,Novel,Kinit,40,40_Day1_FreeRecall_KINIT_SSN_5SNR_Final,40_Day1_FreeRecall_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Feedback,,,41,41_Day1_Feedback_KINIT_SSN_5SNR_Final,41_Day1_Feedback_KINIT_2Talker_5SNR_Final,,
Free Recall Test,Novel,Daevl,42,42_Day1_FreeRecall_DAEVL_SSN_5SNR_Final,42_Day1_FreeRecall_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,,,43,43_Day1_Feedback_DAEVL_SSN_5SNR_Final,43_Day1_Feedback_DAEVL_2Talker_5SNR_Final,,
Block 5,,,,,,,
Cued Recall Test,Known,See,44,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,Seesaw,Seesaw.png
Feedback,,Seesaw,45,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,,
Cued Recall Test,Known,Roo,46,46_Day1_CuedRecall_ROO_Quiet_Final_60dB,46_Day1_CuedRecall_ROO_Quiet_Final_60dB,Rooster,Rooster.png
Feedback,,Rooster,47,47_Day1_Feedback_ROOSTER_Quiet_Final_60dB,47_Day1_Feedback_ROOSTER_Quiet_Final_60dB,,
Cued Recall Test,Known,Bay,48,48_Day1_CuedRecall_BAY_SSN_5SNR_Final,48_Day1_CuedRecall_BAY_2Talker_5SNR_Final,Baby,Baby.png
Feedback,,Baby,49,49_Day1_Feedback_BABY_SSN_5SNR_Final,49_Day1_Feedback_BABY_2Talker_5SNR_Final,,
Cued Recall Test,Novel,To,50,50_Day1_CuedRecall_TO_SSN_5SNR_Final,50_Day1_CuedRecall_TO_2Talker_5SNR_Final,Topin,Topin.png
Feedback,,Topin,51,51_Day1_Feedback_TOPIN_SSN_5SNR_Final,51_Day1_Feedback_TOPIN_2Talker_5SNR_Final,,
Cued Recall Test,Novel,Ne,52,52_Day1_CuedRecall_NE_SSN_5SNR_Final,52_Day1_CuedRecall_NE_2Talker_5SNR_Final,Nedig,Nedig.png
Feedback,,Nedig,53,53_Day1_Feedback_NEGID_SSN_5SNR_Final,53_Day1_Feedback_NEDIG_2Talker_5SNR_Final,,
Cued Recall Test,Novel,Ki,54,54_Day1_CuedRecall_KI_SSN_5SNR_Final,54_Day1_CuedRecall_KI_2Talker_5SNR_Final,Kinit,Kinit.png
Feedback,,Kinit,55,55_Day1_Feedback_KINIT_SSN_5SNR_Final,55_Day1_Feedback_KINIT_2Talker_5SNR_Final,,
Cued Recall Test,Novel,Dae ,56,56_Day1_CuedRecall_DAE_SSN_5SNR_Final,56_Day1_CuedRecall_DAE_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,,Daevl,57,57_Day1_Feedback_DAEVL_SSN_5SNR_Final,57_Day1_Feedback_DAEVL_2Talker_5SNR_Final,,
