Task,Known/Novel,TargetWord,File Order,WAV filename audio - QUIET,WAV filename audio - 5SNR,TargetImage,Image files,,,,,,,,,,,,,,,,,,,
Exposure,Known ,Apple,30,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,Apple,Apple.png,,,,,,,,,,,,,,,,,,,
Exposure,Known ,Rooster,31,31_Day1_Exposure_ROOSTER_Quiet_Final_60dB.wav,31_Day1_Exposure_ROOSTER_Quiet_Final_60dB.wav,Rooster,Rooster.png,,,,,,,,,,,,,,,,,,,
Exposure,Known ,Baby,32,32_Day1_Exposure_BABY_Quiet_Final_60dB.wav,32_Day1_Exposure_BABY_SSN_5SNR_Final.wav,Baby,Baby.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Topin,33,33_Day1_Exposure_TOPIN_Quiet_Final_60dB.wav,33_Day1_Exposure_TOPIN_SSN_5SNR_Final.wav,Topin,Topin.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Nedig,34,34_Day1_Exposure_NEDIG_Quiet_Final_60dB.wav,34_Day1_Exposure_NEDIG_SSN_5SNR_Final.wav,Nedig,Nedig.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Kinit,35,35_Day1_Exposure_KINIT_Quiet_Final_60dB.wav,35_Day1_Exposure_KINIT_SSN_5SNR_Final.wav,Kinit,Kinit.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Daevl,36,36_Day1_Exposure_DAEVL_Quiet_Final_60dB.wav,36_Day1_Exposure_DAEVL_SSN_5SNR_Final.wav,Daevl,Daevl.png,,,,,,,,,,,,,,,,,,,
Block 5,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure,Known,Seesaw,37,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,Seesaw,Seesaw.png,,,,,,,,,,,,,,,,,,,
Exposure,Known,Rooster,38,38_Day1_Exposure_ROOSTER_Quiet_Final_60dB.wav,38_Day1_Exposure_ROOSTER_Quiet_Final_60dB.wav,Rooster,Rooster.png,,,,,,,,,,,,,,,,,,,
Exposure,Known,Baby,39,39_Day1_Exposure_BABY_Quiet_Final_60dB.wav,39_Day1_Exposure_BABY_SSN_5SNR_Final.wav,Baby,Baby.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Topin,40,40_Day1_Exposure_TOPIN_Quiet_Final_60dB.wav,40_Day1_Exposure_TOPIN_SSN_5SNR_Final.wav,Topin,Topin.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Nedig,41,41_Day1_Exposure_NEDIG_Quiet_Final_60dB.wav,41_Day1_Exposure_NEDIG_SSN_5SNR_Final.wav,Nedig,Nedig.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Kinit,42,42_Day1_Exposure_KINIT_Quiet_Final_60dB.wav,42_Day1_Exposure_KINIT_SSN_5SNR_Final.wav,Kinit,Kinit.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Daevl,43,43_Day1_Exposure_DAEVL_Quiet_Final_60dB.wav,43_Day1_Exposure_DAEVL_SSN_5SNR_Final.wav,Daevl,Daevl.png,,,,,,,,,,,,,,,,,,,
