Task,Known/Novel,TargetWord,File Order,WAV filename audio - Speech-Shaped Noise (SSN) - 5SNR,WAV filename audio - Two Talker Speech - 5SNR,TargetImage,Image files
Feedback,Novel,,12,12_Day2_Feedback_KINIT_SSN_5SNR_Final,12_Day2_Feedback_KINIT_2Talker_5SNR_Final,,
Repetition,Novel,Daevl,13,13_Day2_Repetition_DAEVL_SSN_5SNR_Final,13_Day2_Repetition_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,Novel,,14,14_Day2_Feedback_DAEVL_SSN_5SNR_Final,14_Day2_Feedback_DAEVL_2Talker_5SNR_Final,,
Repetition,Novel,Nedig,15,15_Day2_Repetition_NEDIG_SSN_5SNR_Final,15_Day2_Repetition_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Feedback,Novel,,16,16_Day2_Feedback_NEDIG_SSN_5SNR_Final,16_Day2_Feedback_NEDIG_2Talker_5SNR_Final,,
Repetition,Novel,Topin,17,17_Day2_Repetition_TOPIN_SSN_5SNR_Final,17_Day2_Repetition_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
Feedback,Novel,,18,18_Day2_Feedback_TOPIN_SSN_5SNR_Final,18_Day2_Feedback_TOPIN_2Talker_5SNR_Final,,
Block 3,,,,,,,
Repetition,Novel,Kinit,19,19_Day2_Repetition_KINIT_SSN_5SNR_Final,19_Day2_Repetition_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Feedback,Novel,,20,20_Day2_Feedback_KINIT_SSN_5SNR_Final,20_Day2_Feedback_KINIT_2Talker_5SNR_Final,,
Repetition,Novel,Daevl,21,21_Day2_Repetition_DAEVL_SSN_5SNR_Final,21_Day2_Repetition_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,Novel,,22,22_Day2_Feedback_DAEVL_SSN_5SNR_Final,22_Day2_Feedback_DAEVL_2Talker_5SNR_Final,,
Repetition,Novel,Nedig,23,23_Day2_Repetition_NEDIG_SSN_5SNR_Final,23_Day2_Repetition_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Feedback,Novel,,24,24_Day2_Feedback_NEDIG_SSN_5SNR_Final,24_Day2_Feedback_NEDIG_2Talker_5SNR_Final,,
Repetition,Novel,Topin,25,25_Day2_Repetition_TOPIN_SSN_5SNR_Final,25_Day2_Repetition_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
Feedback,Novel,,26,26_Day2_Feedback_TOPIN_SSN_5SNR_Final,26_Day2_Feedback_TOPIN_2Talker_5SNR_Final,,
Block 4,,,,,,,
Exposure,Known ,Rooster,27,27_Day2_Exposure_ROOSTER_Quiet_Final_60dB,27_Day2_Exposure_ROOSTER_Quiet_Final_60dB,Rooster,Rooster.png
Exposure,Known ,Baby,28,28_Day2_Exposure_BABY_SSN_5SNR_Final,28_Day2_Exposure_BABY_2Talker_5SNR_Final,Baby,Baby.png
Exposure,Novel,Kinit,29,29_Day2_Exposure_KINIT_SSN_5SNR_Final,29_Day2_Exposure_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Exposure,Novel,Daevl,30,30_Day2_Exposure_DAEVL_SSN_5SNR_Final,30_Day2_Exposure_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Exposure,Novel,Nedig,31,31_Day2_Exposure_NEDIG_SSN_5SNR_Final,31_Day2_Exposure_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Exposure,Novel,Topin,32,32_Day2_Exposure_TOPIN_SSN_5SNR_Final,32_Day2_Exposure_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
Block 5,,,,,,,
Exposure,Known ,Rooster,33,33_Day2_Exposure_ROOSTER_Quiet_Final_60dB,33_Day2_Exposure_ROOSTER_Quiet_Final_60dB,Rooster,Rooster.png
Exposure,Known ,Baby,34,34_Day2_Exposure_BABY_SSN_5SNR_Final,34_Day2_Exposure_BABY_2Talker_5SNR_Final,Baby,Baby.png
Exposure,Novel,Kinit,35,35_Day2_Exposure_KINIT_SSN_5SNR_Final,35_Day2_Exposure_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Exposure,Novel,Daevl,36,36_Day2_Exposure_DAEVL_SSN_5SNR_Final,36_Day2_Exposure_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Exposure,Novel,Nedig,37,37_Day2_Exposure_NEDIG_SSN_5SNR_Final,37_Day2_Exposure_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Exposure,Novel,Topin,38,38_Day2_Exposure_TOPIN_SSN_5SNR_Final,38_Day2_Exposure_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
