Task,Known/Novel,TargetWord,File Order,WAV filename audio - Speech-Shaped Noise (SSN) - 5SNR,WAV filename audio - Two Talker Speech - 5SNR,TargetImage,Image files
Block 1,,,,,,,
Exposure,Known ,Rooster,1,1_Day2_Exposure_ROOSTER_Quiet_Final_60dB,1_Day2_Exposure_ROOSTER_Quiet_Final_60dB,Rooster,Rooster.png
Exposure,Known ,Baby,2,2_Day2_Exposure_BABY_SSN_5SNR_Final,2_Day2_Exposure_BABY_2Talker_5SNR_Final,Baby,Baby.png
Exposure,Novel,Kinit,3,3_Day2_Exposure_KINIT_SSN_5SNR_Final,3_Day2_Exposure_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Exposure,Novel,Daevl,4,4_Day2_Exposure_DAEVL_SSN_5SNR_Final,4_Day2_Exposure_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Exposure,Novel,Nedig,5,5_Day2_Exposure_NEDIG_SSN_5SNR_Final,5_Day2_Exposure_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Exposure,Novel,Topin,6,6_Day2_Exposure_TOPIN_SSN_5SNR_Final,6_Day2_Exposure_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
Block 2,,,,,,,
Repetition,Known,Rooster,7,7_Day2_Repetition_ROOSTER_Quiet_Final_60dB,7_Day2_Repetition_ROOSTER_Quiet_Final_60dB,Rooster,Rooster.png
Feedback,Known,,8,8_Day2_Feedback_ROOSTER_Quiet_Final_60dB,8_Day2_Feedback_ROOSTER_Quiet_Final_60dB,,
Repetition,Known,Baby,9,9_Day2_Repetition_BABY_SSN_5SNR_Final,9_Day2_Repetition_BABY_2Talker_5SNR_Final,Baby,Baby.png
Feedback,Known,,10,10_Day2_Feedback_BABY_SSN_5SNR_Final,10_Day2_Feedback_BABY_2Talker_5SNR_Final,,
Repetition,Novel,Kinit,11,11_Day2_Repetition_KINIT_SSN_5SNR_Final,11_Day2_Repetition_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
