Task,Known/Novel,TargetWord,File Order,WAV filename audio - QUIET,WAV filename audio - 5SNR,TargetImage,Image files,,,,,,,,,,,,,,,,,,,
2 dot test,Novel,Topin or Daevl,28,28_Day1_2Dot_TOPIN_DAEVL_Quiet_Final_60dB.wav,28_Day1_2Dot_TOPIN_DAEVL_SSN_5SNR_Final.wav,Topin or Daevl,Daevl.png,,,,,,,,,,,,,,,,,,,
Feedback,Novel,Daevl,29,29_Day1_Feedback_DAEVL_Quiet_Final_60dB.wav,29_Day1_Feedback_DAEVL_SSN_5SNR_Final.wav,Daevl,,,,,,,,,,,,,,,,,,,,
Block 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Recall Test,Known ,Apple,30,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,Apple,Apple.png,,,,,,,,,,,,,,,,,,,
Feedback,Known ,,31,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,,,,,,,,,,,,,,,,,,,,,
Free Recall Test,Known ,Rooster,32,32_Day1_FreeRecall_ROOSTER_Quiet_Final_60dB.wav,32_Day1_FreeRecall_ROOSTER_Quiet_Final_60dB.wav,Rooster,Rooster.png,,,,,,,,,,,,,,,,,,,
Feedback,Known ,,33,33_Day1_Feedback_ROOSTER_Quiet_Final_60dB.wav,33_Day1_Feedback_ROOSTER_Quiet_Final_60dB.wav,,,,,,,,,,,,,,,,,,,,,
Free Recall Test,Known ,Baby,34,34_Day1_FreeRecall_BABY_Quiet_Final_60dB.wav,34_Day1_FreeRecall_BABY_SSN_5SNR_Final.wav,Baby,Baby.png,,,,,,,,,,,,,,,,,,,
Feedback,Known ,,35,35_Day1_Feedback_BABY_Quiet_Final_60dB.wav,35_Day1_Feedback_BABY_SSN_5SNR_Final.wav,,,,,,,,,,,,,,,,,,,,,
Free Recall Test,Novel,Topin,36,36_Day1_FreeRecall_TOPIN_Quiet_Final_60dB.wav,36_Day1_FreeRecall_TOPIN_SSN_5SNR_Final.wav,Topin,Topin.png,,,,,,,,,,,,,,,,,,,
Feedback,Novel,,37,37_Day1_Feedback_TOPIN_Quiet_Final_60dB.wav,37_Day1_Feedback_TOPIN_SSN_5SNR_Final.wav,,,,,,,,,,,,,,,,,,,,,
Free Recall Test,Novel,Nedig,38,38_Day1_FreeRecall_NEDIG_Quiet_Final_60dB.wav,38_Day1_FreeRecall_NEDIG_SSN_5SNR_Final.wav,Nedig,Nedig.png,,,,,,,,,,,,,,,,,,,
Feedback,Novel,,39,39_Day1_Feedback_NEDIG_Quiet_Final_60dB.wav,39_Day1_Feedback_NEGID_SSN_5SNR_Final.wav,,,,,,,,,,,,,,,,,,,,,
Free Recall Test,Novel,Kinit,40,40_Day1_FreeRecall_KINIT_Quiet_Final_60dB.wav,40_Day1_FreeRecall_KINIT_SSN_5SNR_Final.wav,Kinit,Kinit.png,,,,,,,,,,,,,,,,,,,
Feedback,Novel,,41,41_Day1_Feedback_KINIT_Quiet_Final_60dB.wav,41_Day1_Feedback_KINIT_SSN_5SNR_Final.wav,,,,,,,,,,,,,,,,,,,,,
Free Recall Test,Novel,Daevl,42,42_Day1_FreeRecall_DAEVL_Quiet_Final_60dB.wav,42_Day1_FreeRecall_DAEVL_SSN_5SNR_Final.wav,Daevl,Daevl.png,,,,,,,,,,,,,,,,,,,
Feedback,Novel,,43,43_Day1_Feedback_DAEVL_Quiet_Final_60dB.wav,43_Day1_Feedback_DAEVL_SSN_5SNR_Final.wav,,,,,,,,,,,,,,,,,,,,,
Block 5,,,,,,,,,,,,,,,,,,,,,,,,,,
Cued Recall Test,Known,See,44,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,See,Seesaw.png,,,,,,,,,,,,,,,,,,,
Feedback,Known,Seesaw,45,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,Seesaw,,,,,,,,,,,,,,,,,,,,
Cued Recall Test,Known,Roo,46,46_Day1_CuedRecall_ROO_Quiet_Final_60dB.wav,46_Day1_CuedRecall_ROO_Quiet_Final_60dB.wav,Roo,Rooster.png,,,,,,,,,,,,,,,,,,,
Feedback,Known,Rooster,47,47_Day1_Feedback_ROOSTER_Quiet_Final_60dB.wav,47_Day1_Feedback_ROOSTER_Quiet_Final_60dB.wav,Rooster,,,,,,,,,,,,,,,,,,,,
Cued Recall Test,Known,Bay,48,48_Day1_CuedRecall_BAY_Quiet_Final_60dB.wav,48_Day1_CuedRecall_BAY_SSN_5SNR_Final.wav,Bay,Baby.png,,,,,,,,,,,,,,,,,,,
Feedback,Known,Baby,49,49_Day1_Feedback_BABY_Quiet_Final_60dB.wav,49_Day1_Feedback_BABY_SSN_5SNR_Final.wav,Baby,,,,,,,,,,,,,,,,,,,,
Cued Recall Test,Novel,To,50,50_Day1_CuedRecall_TO_Quiet_Final_60dB.wav,50_Day1_CuedRecall_TO_SSN_5SNR_Final.wav,To,Topin.png,,,,,,,,,,,,,,,,,,,
Feedback,Novel,Topin,51,51_Day1_Feedback_TOPIN_Quiet_Final_60dB.wav,51_Day1_Feedback_TOPIN_SSN_5SNR_Final.wav,Topin,,,,,,,,,,,,,,,,,,,,
Cued Recall Test,Novel,Ne,52,52_Day1_CuedRecall_NE_Quiet_Final_60dB.wav,52_Day1_CuedRecall_NE_SSN_5SNR_Final.wav,Ne,Nedig.png,,,,,,,,,,,,,,,,,,,
Feedback,Novel,Nedig,53,53_Day1_Feedback_NEDIG_Quiet_Final_60dB.wav,53_Day1_Feedback_NEGID_SSN_5SNR_Final.wav,Nedig,,,,,,,,,,,,,,,,,,,,
Cued Recall Test,Novel,Ki,54,54_Day1_CuedRecall_KI_Quiet_Final_60dB.wav,54_Day1_CuedRecall_KI_SSN_5SNR_Final.wav,Ki,Kinit.png,,,,,,,,,,,,,,,,,,,
Feedback,Novel,Kinit,55,55_Day1_Feedback_KINIT_Quiet_Final_60dB.wav,55_Day1_Feedback_KINIT_SSN_5SNR_Final.wav,Kinit,,,,,,,,,,,,,,,,,,,,
Cued Recall Test,Novel,Dae ,56,56_Day1_CuedRecall_DAE_Quiet_Final_60dB.wav,56_Day1_CuedRecall_DAE_SSN_5SNR_Final.wav,Dae ,Daevl.png,,,,,,,,,,,,,,,,,,,
Feedback,Novel,Daevl,57,57_Day1_Feedback_DAEVL_Quiet_Final_60dB.wav,57_Day1_Feedback_DAEVL_SSN_5SNR_Final.wav,Daevl,,,,,,,,,,,,,,,,,,,,
